ticker,ex_date,dividend
CLAS-B.ST,2015-09-14,5.25
CLAS-B.ST,2016-09-12,5.75
CLAS-B.ST,2017-09-11,6.25
CLAS-B.ST,2018-09-10,6.25
CLAS-B.ST,2019-09-09,3.13
CLAS-B.ST,2020-01-13,3.12
CLAS-B.ST,2021-09-13,3.13
CLAS-B.ST,2022-01-10,3.12
CLAS-B.ST,2022-09-12,6.5
CLAS-B.ST,2023-01-16,6.5
CLAS-B.ST,2023-09-11,1.5
CLAS-B.ST,2024-09-09,2.13
CLAS-B.ST,2025-01-13,2.12
CLAS-B.ST,2025-09-15,3.5
CLAS-B.ST,2026-01-12,3.5
COOR.ST,2016-04-29,2.0
COOR.ST,2017-05-05,3.0
COOR.ST,2018-04-27,4.0
COOR.ST,2019-05-03,4.0
COOR.ST,2021-04-27,2.0
COOR.ST,2021-10-01,2.4
COOR.ST,2022-05-02,2.4
COOR.ST,2022-10-06,2.4
COOR.ST,2023-04-28,2.4
COOR.ST,2023-10-03,4.8
COOR.ST,2024-04-29,2.4
COOR.ST,2025-04-28,1.0
COOR.ST,2025-10-02,0.5
COOR.ST,2026-05-25,1.5
CTT.ST,2015-05-15,0.4
CTT.ST,2016-05-13,0.7
CTT.ST,2017-05-12,2.1
CTT.ST,2018-05-09,2.75
CTT.ST,2019-05-08,4.05
CTT.ST,2020-05-07,4.05
CTT.ST,2021-05-06,1.74
CTT.ST,2022-05-05,0.79
CTT.ST,2023-05-05,4.05
CTT.ST,2024-05-07,8.7
CTT.ST,2025-05-09,5.35
CTT.ST,2026-05-08,2.4
DIOS.ST,2007-04-30,0.8421
DIOS.ST,2008-04-30,1.071764
DIOS.ST,2009-04-22,1.071764
DIOS.ST,2010-04-20,1.339705
DIOS.ST,2011-04-15,1.372407
DIOS.ST,2012-05-03,0.862656
DIOS.ST,2013-04-26,1.803735
DIOS.ST,2014-04-29,1.803735
DIOS.ST,2015-04-23,2.235063
DIOS.ST,2016-04-27,2.235063
DIOS.ST,2017-04-27,2.0
DIOS.ST,2018-04-25,1.45
DIOS.ST,2018-10-25,1.45
DIOS.ST,2019-04-24,1.5
DIOS.ST,2019-10-29,1.5
DIOS.ST,2020-06-26,1.65
DIOS.ST,2021-04-14,1.65
DIOS.ST,2021-10-29,1.65
DIOS.ST,2022-04-06,0.88
DIOS.ST,2022-07-06,0.88
DIOS.ST,2022-10-06,0.88
DIOS.ST,2023-01-05,0.88
DIOS.ST,2023-04-19,0.5
DIOS.ST,2023-07-19,0.5
DIOS.ST,2023-10-19,0.5
DIOS.ST,2024-01-19,0.5
DIOS.ST,2025-04-08,0.55
DIOS.ST,2025-07-08,0.55
DIOS.ST,2025-10-08,0.55
DIOS.ST,2026-01-08,0.55
DIOS.ST,2026-03-31,0.6
DIOS.ST,2026-07-07,0.6
DOM.ST,2017-04-10,1.85
DOM.ST,2018-04-11,2.05
DOM.ST,2019-04-10,2.15
DOM.ST,2021-04-14,2.3
DOM.ST,2022-04-14,2.45
DOM.ST,2023-04-13,1.3
DOM.ST,2024-04-12,1.9
DOM.ST,2025-04-16,1.3
DUNI.ST,2008-05-08,1.8
DUNI.ST,2009-05-07,1.8
DUNI.ST,2010-05-06,2.5
DUNI.ST,2011-05-06,3.5
DUNI.ST,2012-05-04,3.5
DUNI.ST,2013-05-03,3.5
DUNI.ST,2014-05-07,4.0
DUNI.ST,2015-05-06,4.5
DUNI.ST,2016-05-04,5.0
DUNI.ST,2017-05-04,5.0
DUNI.ST,2018-05-09,5.0
DUNI.ST,2019-05-08,2.5
DUNI.ST,2019-11-11,2.5
DUNI.ST,2023-05-17,1.5
DUNI.ST,2023-11-13,1.5
DUNI.ST,2024-05-22,2.5
DUNI.ST,2024-11-11,2.5
DUNI.ST,2025-05-20,2.5
DUNI.ST,2025-11-10,2.5
DUNI.ST,2026-05-19,2.5
DYVOX.ST,2026-05-11,0.5
EAST.ST,2011-04-13,0.2
EAST.ST,2012-04-26,0.2
EAST.ST,2016-04-21,0.2
EAST.ST,2016-06-10,0.2
EAST.ST,2017-05-16,0.225
EAST.ST,2018-04-25,0.2625
EAST.ST,2018-10-26,0.2625
EAST.ST,2019-05-16,0.2875
EAST.ST,2019-11-15,0.2875
EAST.ST,2020-05-13,0.3375
EAST.ST,2020-11-13,0.3375
EAST.ST,2021-05-06,0.1875
EAST.ST,2021-08-16,0.1875
EAST.ST,2021-11-15,0.1875
EAST.ST,2022-01-31,0.1875
EAST.ST,2022-04-27,0.1875
EAST.ST,2022-08-15,0.1875
EAST.ST,2022-11-14,0.1875
EAST.ST,2023-01-23,0.1875
EAST.ST,2023-05-04,0.2125
