ticker,report_period,report_date,period_end,period_end_to_report_days,original_eps_ttm,aligned_eps_ttm,currency,abs_change_pct,alignment_status,eps_source
EVO.ST,2026-Q2,2026-07-17,2026-06-30,17.0,5.32,5.31,EUR,0.18796992481204275,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
FABG.ST,2024-Q1,2024-04-25,2024-03-31,25.0,3.6245,-14.72,SEK,506.1249827562422,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
FABG.ST,2024-Q2,2024-07-05,2024-06-30,5.0,3.569,-11.65,SEK,426.42196693751754,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
FABG.ST,2024-Q3,2024-10-22,2024-09-30,22.0,3.4251,-8.45,SEK,346.70812531020994,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
FABG.ST,2024-Q4,2025-02-06,2024-12-31,37.0,3.3948,-0.68,SEK,120.03063508895957,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
FABG.ST,2025-Q1,2025-04-14,2025-03-31,14.0,3.2838,1.06,SEK,67.72032401486084,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
FABG.ST,2025-Q2,2025-07-07,2025-06-30,7.0,3.3898,0.64,SEK,81.1198300784707,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
FABG.ST,2025-Q3,2025-10-21,2025-09-30,21.0,3.4907,0.9099999999999998,SEK,73.93073022602917,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS
FABG.ST,2025-Q4,2026-02-05,2025-12-31,36.0,3.5866,-1.11,SEK,130.94853064183349,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
FABG.ST,2026-Q1,2026-04-23,2026-03-31,23.0,3.8012,-0.23,SEK,106.05072082500261,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
FABG.ST,2026-Q2,2026-07-06,2026-06-30,6.0,3.8794,1.37,SEK,64.6852606073104,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GENO.ST,2024-Q1,2024-02-15,2023-12-31,46.0,0.4686,0.94,SEK,100.59752454118649,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GENO.ST,2024-Q2,2024-05-15,2024-03-31,45.0,0.2635,0.46,SEK,74.573055028463,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GENO.ST,2024-Q3,2024-08-20,2024-06-30,51.0,0.4263,0.26,SEK,39.010086793338026,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GENO.ST,2024-Q4,2024-11-08,2024-09-30,39.0,0.5028,0.42,SEK,16.467780429594278,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GENO.ST,2025-Q1,2025-02-14,2024-12-31,45.0,0.36,0.5,SEK,38.88888888888889,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GENO.ST,2025-Q2,2025-05-21,2025-03-31,51.0,0.41,0.36,SEK,12.19512195121951,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GENO.ST,2025-Q3,2025-08-12,2025-06-30,43.0,0.32,0.41,SEK,28.12499999999999,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GENO.ST,2025-Q4,2025-11-07,2025-09-30,38.0,0.36,0.32,SEK,11.111111111111107,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GENO.ST,2026-Q1,2026-02-12,2025-12-31,43.0,0.37,0.36,SEK,2.7027027027027053,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GENO.ST,2026-Q2,2026-04-28,2026-03-31,28.0,0.31,0.37,SEK,19.35483870967742,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GETI-B.ST,2024-Q1,2024-04-22,2024-03-31,22.0,8.4,8.4,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GETI-B.ST,2024-Q2,2024-07-18,2024-06-30,18.0,9.49,9.49,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GETI-B.ST,2024-Q3,2024-10-18,2024-09-30,18.0,6.22,6.22,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GETI-B.ST,2024-Q4,2025-01-28,2024-12-31,28.0,6.01,6.01,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GETI-B.ST,2025-Q1,2025-04-22,2025-03-31,22.0,5.43,5.42,SEK,0.18416206261509738,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GETI-B.ST,2025-Q2,2025-07-18,2025-06-30,18.0,5.47,5.46,SEK,0.18281535648994127,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GETI-B.ST,2025-Q3,2025-10-21,2025-09-30,21.0,7.54,7.539999999999999,SEK,1.1779554637932696e-14,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS
GETI-B.ST,2025-Q4,2026-01-27,2025-12-31,27.0,8.29,8.29,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GETI-B.ST,2026-Q1,2026-04-21,2026-03-31,21.0,8.66,8.66,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
GETI-B.ST,2026-Q2,2026-07-17,2026-06-30,17.0,9.82,9.83,SEK,0.1018329938900182,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
HANZA.ST,2024-Q1,2024-05-07,2024-03-31,37.0,4.3519,4.61,SEK,5.930742893908423,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
HANZA.ST,2024-Q2,2024-07-23,2024-06-30,23.0,3.1151,3.27,SEK,4.972553048056243,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
HANZA.ST,2024-Q3,2024-10-29,2024-09-30,29.0,2.9089,2.95,SEK,1.4129052219051923,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
HANZA.ST,2024-Q4,2025-02-11,2024-12-31,42.0,2.55,2.54,SEK,0.3921568627450897,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
HANZA.ST,2025-Q1,2025-05-06,2025-03-31,36.0,2.69,2.67,SEK,0.7434944237918222,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
