ticker,report_period,report_date,eps_ttm,currency
CLA-B.ST,2025-Q3,2025-11-05,2.51,SEK
CLA-B.ST,2025-Q4,2026-02-04,2.78,SEK
CLA-B.ST,2026-Q1,2026-05-06,2.61,SEK
CLA-B.ST,2026-Q2,2026-07-15,2.95,SEK
CLAS-B.ST,2024-Q3,,7.0205,SEK
CLAS-B.ST,2024-Q4,,8.0275,SEK
CLAS-B.ST,2025-Q1,,10.7455,SEK
CLAS-B.ST,2025-Q2,,11.6404,SEK
CLAS-B.ST,2025-Q3,,13.29,SEK
CLAS-B.ST,2025-Q4,,13.91,SEK
CLAS-B.ST,2026-Q1,,14.88,SEK
CLAS-B.ST,2026-Q2,,16.11,SEK
CLAS-B.ST,2026-Q3,,17.47,SEK
CLAS-B.ST,2026-Q4,2026-06-03,18.4,SEK
COOR.ST,2024-Q1,2024-04-24,1.7,SEK
COOR.ST,2024-Q2,2024-07-12,1.9,SEK
COOR.ST,2024-Q3,2024-10-24,1.8,SEK
COOR.ST,2024-Q4,2025-02-06,1.3,SEK
COOR.ST,2025-Q1,2025-04-23,1.2,SEK
COOR.ST,2025-Q2,2025-07-14,1.3,SEK
COOR.ST,2025-Q3,2025-10-23,1.6,SEK
COOR.ST,2025-Q4,2026-02-11,2.3,SEK
COOR.ST,2026-Q1,2026-04-22,2.5,SEK
COOR.ST,2026-Q2,2026-07-15,2.7,SEK
CTT.ST,2024-Q1,,8.1411,SEK
CTT.ST,2024-Q2,,8.1331,SEK
CTT.ST,2024-Q3,,7.0876,SEK
CTT.ST,2024-Q4,,6.8242,SEK
CTT.ST,2025-Q1,,5.16,SEK
CTT.ST,2025-Q2,,4.38,SEK
CTT.ST,2025-Q3,,4.56,SEK
CTT.ST,2025-Q4,,3.08,SEK
CTT.ST,2026-Q1,,3.31,SEK
CTT.ST,2026-Q2,,2.92,SEK
DIOS.ST,2024-Q1,,4.9572,SEK
DIOS.ST,2024-Q2,,5.0751,SEK
DIOS.ST,2024-Q3,,5.2098,SEK
DIOS.ST,2024-Q4,,5.0077,SEK
DIOS.ST,2025-Q1,,5.1256,SEK
DIOS.ST,2025-Q2,,5.2828,SEK
DIOS.ST,2025-Q3,,5.3333,SEK
DIOS.ST,2025-Q4,,5.5074,SEK
DIOS.ST,2026-Q1,,5.6014,SEK
DIOS.ST,2026-Q2,,5.6642,SEK
DOM.ST,2024-Q1,2024-04-19,3.97,SEK
DOM.ST,2024-Q2,2024-07-18,3.69,SEK
DOM.ST,2024-Q3,2024-10-23,-3.61,SEK
DOM.ST,2024-Q4,2025-01-29,-7.21,SEK
DOM.ST,2025-Q1,2025-04-24,-7.5,SEK
DOM.ST,2025-Q2,2025-07-15,-7.79,SEK
DOM.ST,2025-Q3,2025-10-23,-1.43,SEK
DOM.ST,2025-Q4,2026-01-28,1.34,SEK
DOM.ST,2026-Q1,2026-04-23,1.31,SEK
DOM.ST,2026-Q2,2026-07-14,0.97,SEK
DUNI.ST,2024-Q1,,8.31,SEK
DUNI.ST,2024-Q2,,7.83,SEK
DUNI.ST,2024-Q3,,4.99,SEK
DUNI.ST,2024-Q4,,5.48,SEK
DUNI.ST,2025-Q1,,5.17,SEK
DUNI.ST,2025-Q2,,4.68,SEK
DUNI.ST,2025-Q3,,6.96,SEK
DUNI.ST,2025-Q4,,6.64,SEK
DUNI.ST,2026-Q1,,6.02,SEK
DUNI.ST,2026-Q2,,4.32,SEK
DYVOX.ST,2024-Q1,,1.02,SEK
DYVOX.ST,2024-Q2,,1.2,SEK
DYVOX.ST,2024-Q3,,1.3,SEK
DYVOX.ST,2024-Q4,,1.39,SEK
DYVOX.ST,2025-Q1,,1.52,SEK
DYVOX.ST,2025-Q2,2025-07-18,1.44,SEK
DYVOX.ST,2025-Q3,2025-10-23,1.37,SEK
DYVOX.ST,2025-Q4,2026-02-05,1.57,SEK
DYVOX.ST,2026-Q1,2026-04-24,1.71,SEK
DYVOX.ST,2026-Q2,2026-07-22,2.14,SEK
EAST.ST,2024-Q1,,0.1651,EUR
EAST.ST,2024-Q2,,0.1747,EUR
EAST.ST,2024-Q3,,0.1821,EUR
EAST.ST,2024-Q4,,0.1969,EUR
EAST.ST,2025-Q1,,0.2188,EUR
EAST.ST,2025-Q2,,0.2217,EUR
EAST.ST,2025-Q3,,0.2433,EUR
EAST.ST,2025-Q4,,0.2506,EUR
EAST.ST,2026-Q1,,0.2495,EUR
EAST.ST,2026-Q2,2026-07-07,0.2451,EUR
EKTA-B.ST,2024-Q3,2024-02-29,3.7505,SEK
EKTA-B.ST,2024-Q4,2024-06-05,3.4076,SEK
EKTA-B.ST,2025-Q1,2024-08-28,2.97,SEK
EKTA-B.ST,2025-Q2,2024-11-27,2.62,SEK
EKTA-B.ST,2025-Q3,2025-02-20,2.72,SEK
EKTA-B.ST,2025-Q4,2025-05-28,0.62,SEK
EKTA-B.ST,2026-Q1,2025-08-27,0.72,SEK
EKTA-B.ST,2026-Q2,2025-11-26,0.76,SEK
EKTA-B.ST,2026-Q3,2026-03-05,-0.1,SEK
EKTA-B.ST,2026-Q4,2026-05-28,-1.36,SEK
EMBRAC-B.ST,2024-Q4,2024-05-23,-91.68,SEK
EMBRAC-B.ST,2025-Q1,2024-08-15,-73.91,SEK
EMBRAC-B.ST,2025-Q2,2024-11-14,-72.55,SEK
EMBRAC-B.ST,2025-Q3,2025-02-13,-60.29,SEK
EMBRAC-B.ST,2025-Q4,2025-05-22,12.31,SEK
EMBRAC-B.ST,2026-Q1,2025-08-14,18.08,SEK
EMBRAC-B.ST,2026-Q2,2025-11-13,19.69,SEK
EMBRAC-B.ST,2026-Q3,2026-02-12,18.91,SEK
EMBRAC-B.ST,2026-Q4,2026-05-20,-32.76,SEK
EMBRAC-B.ST,2027-Q1,2026-08-13,-27.84,SEK
EPI-A.ST,2024-Q1,2024-04-23,7.57,SEK
EPI-A.ST,2024-Q2,2024-07-19,7.07,SEK
EPI-A.ST,2024-Q3,2024-10-25,7.14,SEK
EPI-A.ST,2024-Q4,2025-01-30,7.23,SEK
EPI-A.ST,2025-Q1,2025-04-29,7.38,SEK
EPI-A.ST,2025-Q2,2025-07-18,7.43,SEK
EPI-A.ST,2025-Q3,2025-10-29,7.14,SEK
EPI-A.ST,2025-Q4,2026-01-26,7.12,SEK
EPI-A.ST,2026-Q1,2026-04-29,7.03,SEK
EPI-A.ST,2026-Q2,2026-07-17,7.3,SEK
EPI-B.ST,2024-Q1,2024-04-23,7.57,SEK
EPI-B.ST,2024-Q2,2024-07-19,7.07,SEK
EPI-B.ST,2024-Q3,2024-10-25,7.14,SEK
EPI-B.ST,2024-Q4,2025-01-30,7.23,SEK
EPI-B.ST,2025-Q1,2025-04-29,7.38,SEK
EPI-B.ST,2025-Q2,2025-07-18,7.43,SEK
EPI-B.ST,2025-Q3,2025-10-29,7.14,SEK
EPI-B.ST,2025-Q4,2026-01-26,7.12,SEK
EPI-B.ST,2026-Q1,2026-04-29,7.03,SEK
EPI-B.ST,2026-Q2,2026-07-17,7.3,SEK
EQL.ST,2024-Q4,,0.7812,SEK
EQL.ST,2025-Q1,2024-05-14,0.9047,SEK
EQL.ST,2025-Q2,2024-08-08,1.0726,SEK
EQL.ST,2025-Q3,2024-11-06,1.1949,SEK
EQL.ST,2025-Q4,2025-02-05,1.4838,SEK
EQL.ST,2026-Q1,2025-05-08,1.46,SEK
EQL.ST,2026-Q2,2025-08-08,1.0,SEK
EQL.ST,2026-Q3,2025-11-05,0.99,SEK
EQL.ST,2026-Q4,2026-02-03,0.42,SEK
EQL.ST,2027-Q1,2026-05-08,-0.48,SEK
EQT.ST,2021-Q4,,0.9288,EUR
EQT.ST,2022-Q2,,0.7881,EUR
EQT.ST,2022-Q4,,0.1706,EUR
EQT.ST,2023-Q2,,-0.0455,EUR
EQT.ST,2023-Q4,,0.1096,EUR
EQT.ST,2024-Q2,,0.3385,EUR
EQT.ST,2024-Q4,,0.6567,EUR
EQT.ST,2025-Q2,,0.712,EUR
EQT.ST,2025-Q4,,0.617,EUR
EQT.ST,2026-Q2,,0.8922,EUR
ERIC-B.ST,2024-Q1,2024-04-16,-7.63,SEK
ERIC-B.ST,2024-Q2,2024-07-12,-10.76,SEK
ERIC-B.ST,2024-Q3,2024-10-15,-0.41,SEK
ERIC-B.ST,2024-Q4,2025-01-24,0.01,SEK
ERIC-B.ST,2025-Q1,2025-04-15,0.48,SEK
ERIC-B.ST,2025-Q2,2025-07-15,5.19,SEK
ERIC-B.ST,2025-Q3,2025-10-14,7.39,SEK
ERIC-B.ST,2025-Q4,2026-01-23,8.51,SEK
ERIC-B.ST,2026-Q1,2026-04-17,7.54,SEK
ERIC-B.ST,2026-Q2,2026-07-14,7.39,SEK
ESSITY-B.ST,2024-Q1,2024-04-25,13.21,SEK
ESSITY-B.ST,2024-Q2,2024-07-18,14.47,SEK
ESSITY-B.ST,2024-Q3,2024-10-23,17.0,SEK
ESSITY-B.ST,2024-Q4,2025-01-23,17.09,SEK
ESSITY-B.ST,2025-Q1,2025-04-24,18.01,SEK
ESSITY-B.ST,2025-Q2,2025-07-17,17.68,SEK
ESSITY-B.ST,2025-Q3,2025-10-23,17.81,SEK
ESSITY-B.ST,2025-Q4,2026-01-22,18.37,SEK
