ticker,period_end,report_date,report_lag_days,eps_ttm,currency,alignment_status,eps_source,date_status
EVO.ST,2024-06-30,2024-07-19,19,5.1,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EVO.ST,2024-09-30,2024-10-24,24,5.4,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EVO.ST,2024-12-31,2025-01-30,30,5.91,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EVO.ST,2025-06-30,2025-07-17,17,5.84,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EVO.ST,2025-09-30,2025-10-23,23,5.5200000000000005,EUR,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS,existing_canonical
EVO.ST,2025-12-31,2026-02-05,36,5.23,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EVO.ST,2026-03-31,2026-04-22,22,5.25,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EVO.ST,2026-06-30,2026-07-17,17,5.31,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
FABG.ST,2023-09-30,2023-10-19,19,-19.77,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
FABG.ST,2024-03-31,2024-04-25,25,-14.72,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
FABG.ST,2024-06-30,2024-07-05,5,-11.65,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
FABG.ST,2024-09-30,2024-10-22,22,-8.45,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
FABG.ST,2024-12-31,2025-02-06,37,-0.68,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
FABG.ST,2025-03-31,2025-04-14,14,1.06,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
